sample_id	donor	condition_number	condition_name	ega_id	fq1
MIRHDLRNVI_2	MIRHDLRNVI	2	LPS	EGAR00001482038	_EGAR00001482038_EIP@MIRHDLRNVI-2_aligned.fq.gz
MIRHDLRNVI_3	MIRHDLRNVI	3	Pam3CSK4	EGAR00001482039	_EGAR00001482039_EIP@MIRHDLRNVI-3_aligned.fq.gz
MIRHDLRNVI_4	MIRHDLRNVI	4	R848	EGAR00001482040	_EGAR00001482040_EIP@MIRHDLRNVI-4_aligned.fq.gz
MIRHDLRNVI_5	MIRHDLRNVI	5	IAV	EGAR00001482041	_EGAR00001482041_EIP@MIRHDLRNVI-5_aligned.fq.gz
MJSUIHSHIX_1	MJSUIHSHIX	1	naive	EGAR00001482042	_EGAR00001482042_EIP@MJSUIHSHIX-1_aligned.fq.gz
MJSUIHSHIX_2	MJSUIHSHIX	2	LPS	EGAR00001482043	_EGAR00001482043_EIP@MJSUIHSHIX-2_aligned.fq.gz
MJSUIHSHIX_3	MJSUIHSHIX	3	Pam3CSK4	EGAR00001482044	_EGAR00001482044_EIP@MJSUIHSHIX-3_aligned.fq.gz
MJSUIHSHIX_4	MJSUIHSHIX	4	R848	EGAR00001482045	_EGAR00001482045_EIP@MJSUIHSHIX-4_aligned.fq.gz
MJSUIHSHIX_5	MJSUIHSHIX	5	IAV	EGAR00001482046	_EGAR00001482046_EIP@MJSUIHSHIX-5_aligned.fq.gz
MKCDZRXHAO_1	MKCDZRXHAO	1	naive	EGAR00001482047	_EGAR00001482047_EIP@MKCDZRXHAO-1_aligned.fq.gz
MKCDZRXHAO_2	MKCDZRXHAO	2	LPS	EGAR00001482048	_EGAR00001482048_EIP@MKCDZRXHAO-2_aligned.fq.gz
MKCDZRXHAO_3	MKCDZRXHAO	3	Pam3CSK4	EGAR00001482049	_EGAR00001482049_EIP@MKCDZRXHAO-3_aligned.fq.gz
MKCDZRXHAO_4	MKCDZRXHAO	4	R848	EGAR00001482050	_EGAR00001482050_EIP@MKCDZRXHAO-4_aligned.fq.gz
MKCDZRXHAO_5	MKCDZRXHAO	5	IAV	EGAR00001482051	_EGAR00001482051_EIP@MKCDZRXHAO-5_aligned.fq.gz
MOQYRQKPVB_1	MOQYRQKPVB	1	naive	EGAR00001482052	_EGAR00001482052_EIP@MOQYRQKPVB-1_aligned.fq.gz
MOQYRQKPVB_2	MOQYRQKPVB	2	LPS	EGAR00001482053	_EGAR00001482053_EIP@MOQYRQKPVB-2_aligned.fq.gz
MOQYRQKPVB_3	MOQYRQKPVB	3	Pam3CSK4	EGAR00001482054	_EGAR00001482054_EIP@MOQYRQKPVB-3_aligned.fq.gz
MOQYRQKPVB_4	MOQYRQKPVB	4	R848	EGAR00001482055	_EGAR00001482055_EIP@MOQYRQKPVB-4_aligned.fq.gz
MOQYRQKPVB_5	MOQYRQKPVB	5	IAV	EGAR00001482056	_EGAR00001482056_EIP@MOQYRQKPVB-5_aligned.fq.gz
MULBUEXFOV_1	MULBUEXFOV	1	naive	EGAR00001482057	_EGAR00001482057_EIP@MULBUEXFOV-1_aligned.fq.gz
MULBUEXFOV_2	MULBUEXFOV	2	LPS	EGAR00001482058	_EGAR00001482058_EIP@MULBUEXFOV-2_aligned.fq.gz
MULBUEXFOV_3	MULBUEXFOV	3	Pam3CSK4	EGAR00001482059	_EGAR00001482059_EIP@MULBUEXFOV-3_aligned.fq.gz
MULBUEXFOV_4	MULBUEXFOV	4	R848	EGAR00001482060	_EGAR00001482060_EIP@MULBUEXFOV-4_aligned.fq.gz
MULBUEXFOV_5	MULBUEXFOV	5	IAV	EGAR00001482061	_EGAR00001482061_EIP@MULBUEXFOV-5_aligned.fq.gz
MWWRRLKPMB_1	MWWRRLKPMB	1	naive	EGAR00001482062	_EGAR00001482062_EIP@MWWRRLKPMB-1_aligned.fq.gz
MWWRRLKPMB_2	MWWRRLKPMB	2	LPS	EGAR00001482063	_EGAR00001482063_EIP@MWWRRLKPMB-2_aligned.fq.gz
MWWRRLKPMB_3	MWWRRLKPMB	3	Pam3CSK4	EGAR00001482064	_EGAR00001482064_EIP@MWWRRLKPMB-3_aligned.fq.gz
MWWRRLKPMB_4	MWWRRLKPMB	4	R848	EGAR00001482065	_EGAR00001482065_EIP@MWWRRLKPMB-4_aligned.fq.gz
MWWRRLKPMB_5	MWWRRLKPMB	5	IAV	EGAR00001482066	_EGAR00001482066_EIP@MWWRRLKPMB-5_aligned.fq.gz
MXEDRXDTPM_1	MXEDRXDTPM	1	naive	EGAR00001482067	_EGAR00001482067_EIP@MXEDRXDTPM-1_aligned.fq.gz
MXEDRXDTPM_3	MXEDRXDTPM	3	Pam3CSK4	EGAR00001482068	_EGAR00001482068_EIP@MXEDRXDTPM-3_aligned.fq.gz
MXEDRXDTPM_4	MXEDRXDTPM	4	R848	EGAR00001482069	_EGAR00001482069_EIP@MXEDRXDTPM-4_aligned.fq.gz
MXEDRXDTPM_5	MXEDRXDTPM	5	IAV	EGAR00001482070	_EGAR00001482070_EIP@MXEDRXDTPM-5_aligned.fq.gz
NAGVNZGKWQ_1	NAGVNZGKWQ	1	naive	EGAR00001482071	_EGAR00001482071_EIP@NAGVNZGKWQ-1_aligned.fq.gz
NAGVNZGKWQ_2	NAGVNZGKWQ	2	LPS	EGAR00001482072	_EGAR00001482072_EIP@NAGVNZGKWQ-2_aligned.fq.gz
NAGVNZGKWQ_3	NAGVNZGKWQ	3	Pam3CSK4	EGAR00001482073	_EGAR00001482073_EIP@NAGVNZGKWQ-3_aligned.fq.gz
NAGVNZGKWQ_4	NAGVNZGKWQ	4	R848	EGAR00001482074	_EGAR00001482074_EIP@NAGVNZGKWQ-4_aligned.fq.gz
NAGVNZGKWQ_5	NAGVNZGKWQ	5	IAV	EGAR00001482075	_EGAR00001482075_EIP@NAGVNZGKWQ-5_aligned.fq.gz
NASXDNCEPQ_1	NASXDNCEPQ	1	naive	EGAR00001482076	_EGAR00001482076_EIP@NASXDNCEPQ-1_aligned.fq.gz
NASXDNCEPQ_2	NASXDNCEPQ	2	LPS	EGAR00001482077	_EGAR00001482077_EIP@NASXDNCEPQ-2_aligned.fq.gz
NASXDNCEPQ_3	NASXDNCEPQ	3	Pam3CSK4	EGAR00001482078	_EGAR00001482078_EIP@NASXDNCEPQ-3_aligned.fq.gz
NASXDNCEPQ_4	NASXDNCEPQ	4	R848	EGAR00001482079	_EGAR00001482079_EIP@NASXDNCEPQ-4_aligned.fq.gz
NASXDNCEPQ_5	NASXDNCEPQ	5	IAV	EGAR00001482080	_EGAR00001482080_EIP@NASXDNCEPQ-5_aligned.fq.gz
NDNMAEFMNP_1	NDNMAEFMNP	1	naive	EGAR00001482081	_EGAR00001482081_EIP@NDNMAEFMNP-1_aligned.fq.gz
NDNMAEFMNP_2	NDNMAEFMNP	2	LPS	EGAR00001482082	_EGAR00001482082_EIP@NDNMAEFMNP-2_aligned.fq.gz
NDNMAEFMNP_3	NDNMAEFMNP	3	Pam3CSK4	EGAR00001482083	_EGAR00001482083_EIP@NDNMAEFMNP-3_aligned.fq.gz
NDNMAEFMNP_4	NDNMAEFMNP	4	R848	EGAR00001482084	_EGAR00001482084_EIP@NDNMAEFMNP-4_aligned.fq.gz
NDNMAEFMNP_5	NDNMAEFMNP	5	IAV	EGAR00001482085	_EGAR00001482085_EIP@NDNMAEFMNP-5_aligned.fq.gz
NEMWMGAHJM_1	NEMWMGAHJM	1	naive	EGAR00001482086	_EGAR00001482086_EIP@NEMWMGAHJM-1_aligned.fq.gz
NEMWMGAHJM_2	NEMWMGAHJM	2	LPS	EGAR00001482087	_EGAR00001482087_EIP@NEMWMGAHJM-2_aligned.fq.gz
NEMWMGAHJM_3	NEMWMGAHJM	3	Pam3CSK4	EGAR00001482088	_EGAR00001482088_EIP@NEMWMGAHJM-3_aligned.fq.gz
NEMWMGAHJM_4	NEMWMGAHJM	4	R848	EGAR00001482089	_EGAR00001482089_EIP@NEMWMGAHJM-4_aligned.fq.gz
NEMWMGAHJM_5	NEMWMGAHJM	5	IAV	EGAR00001482090	_EGAR00001482090_EIP@NEMWMGAHJM-5_aligned.fq.gz
NHOOSNFLBC_1	NHOOSNFLBC	1	naive	EGAR00001482091	_EGAR00001482091_EIP@NHOOSNFLBC-1_aligned.fq.gz
NHOOSNFLBC_2	NHOOSNFLBC	2	LPS	EGAR00001482092	_EGAR00001482092_EIP@NHOOSNFLBC-2_aligned.fq.gz
NHOOSNFLBC_3	NHOOSNFLBC	3	Pam3CSK4	EGAR00001482093	_EGAR00001482093_EIP@NHOOSNFLBC-3_aligned.fq.gz
NHOOSNFLBC_5	NHOOSNFLBC	5	IAV	EGAR00001482094	_EGAR00001482094_EIP@NHOOSNFLBC-5_aligned.fq.gz
NJKIERTHIU_1	NJKIERTHIU	1	naive	EGAR00001482095	_EGAR00001482095_EIP@NJKIERTHIU-1_aligned.fq.gz
NJKIERTHIU_2	NJKIERTHIU	2	LPS	EGAR00001482096	_EGAR00001482096_EIP@NJKIERTHIU-2_aligned.fq.gz
NJKIERTHIU_3	NJKIERTHIU	3	Pam3CSK4	EGAR00001482097	_EGAR00001482097_EIP@NJKIERTHIU-3_aligned.fq.gz
NJKIERTHIU_4	NJKIERTHIU	4	R848	EGAR00001482098	_EGAR00001482098_EIP@NJKIERTHIU-4_aligned.fq.gz
NJKIERTHIU_5	NJKIERTHIU	5	IAV	EGAR00001482099	_EGAR00001482099_EIP@NJKIERTHIU-5_aligned.fq.gz
NPLASHTTEQ_1	NPLASHTTEQ	1	naive	EGAR00001482100	_EGAR00001482100_EIP@NPLASHTTEQ-1_aligned.fq.gz
NPLASHTTEQ_2	NPLASHTTEQ	2	LPS	EGAR00001482101	_EGAR00001482101_EIP@NPLASHTTEQ-2_aligned.fq.gz
NPLASHTTEQ_3	NPLASHTTEQ	3	Pam3CSK4	EGAR00001482102	_EGAR00001482102_EIP@NPLASHTTEQ-3_aligned.fq.gz
NPLASHTTEQ_4	NPLASHTTEQ	4	R848	EGAR00001482103	_EGAR00001482103_EIP@NPLASHTTEQ-4_aligned.fq.gz
NPLASHTTEQ_5	NPLASHTTEQ	5	IAV	EGAR00001482104	_EGAR00001482104_EIP@NPLASHTTEQ-5_aligned.fq.gz
NSJCCOSXDI_1	NSJCCOSXDI	1	naive	EGAR00001482105	_EGAR00001482105_EIP@NSJCCOSXDI-1_aligned.fq.gz
NSJCCOSXDI_2	NSJCCOSXDI	2	LPS	EGAR00001482106	_EGAR00001482106_EIP@NSJCCOSXDI-2_aligned.fq.gz
NSJCCOSXDI_4	NSJCCOSXDI	4	R848	EGAR00001482107	_EGAR00001482107_EIP@NSJCCOSXDI-4_aligned.fq.gz
NSJCCOSXDI_5	NSJCCOSXDI	5	IAV	EGAR00001482108	_EGAR00001482108_EIP@NSJCCOSXDI-5_aligned.fq.gz
NYWWAZEOHF_1	NYWWAZEOHF	1	naive	EGAR00001482109	_EGAR00001482109_EIP@NYWWAZEOHF-1_aligned.fq.gz
NYWWAZEOHF_2	NYWWAZEOHF	2	LPS	EGAR00001482110	_EGAR00001482110_EIP@NYWWAZEOHF-2_aligned.fq.gz
NYWWAZEOHF_3	NYWWAZEOHF	3	Pam3CSK4	EGAR00001482111	_EGAR00001482111_EIP@NYWWAZEOHF-3_aligned.fq.gz
NYWWAZEOHF_4	NYWWAZEOHF	4	R848	EGAR00001482112	_EGAR00001482112_EIP@NYWWAZEOHF-4_aligned.fq.gz
NYWWAZEOHF_5	NYWWAZEOHF	5	IAV	EGAR00001482113	_EGAR00001482113_EIP@NYWWAZEOHF-5_aligned.fq.gz
OAIDYXFYBF_1	OAIDYXFYBF	1	naive	EGAR00001482114	_EGAR00001482114_EIP@OAIDYXFYBF-1_aligned.fq.gz
OAIDYXFYBF_2	OAIDYXFYBF	2	LPS	EGAR00001482115	_EGAR00001482115_EIP@OAIDYXFYBF-2_aligned.fq.gz
OAIDYXFYBF_3	OAIDYXFYBF	3	Pam3CSK4	EGAR00001482116	_EGAR00001482116_EIP@OAIDYXFYBF-3_aligned.fq.gz
OAIDYXFYBF_4	OAIDYXFYBF	4	R848	EGAR00001482117	_EGAR00001482117_EIP@OAIDYXFYBF-4_aligned.fq.gz
OAIDYXFYBF_5	OAIDYXFYBF	5	IAV	EGAR00001482118	_EGAR00001482118_EIP@OAIDYXFYBF-5_aligned.fq.gz
OAXIVTUHJB_1	OAXIVTUHJB	1	naive	EGAR00001482119	_EGAR00001482119_EIP@OAXIVTUHJB-1_aligned.fq.gz
OAXIVTUHJB_2	OAXIVTUHJB	2	LPS	EGAR00001482120	_EGAR00001482120_EIP@OAXIVTUHJB-2_aligned.fq.gz
OAXIVTUHJB_3	OAXIVTUHJB	3	Pam3CSK4	EGAR00001482121	_EGAR00001482121_EIP@OAXIVTUHJB-3_aligned.fq.gz
OAXIVTUHJB_4	OAXIVTUHJB	4	R848	EGAR00001482122	_EGAR00001482122_EIP@OAXIVTUHJB-4_aligned.fq.gz
OAXIVTUHJB_5	OAXIVTUHJB	5	IAV	EGAR00001482123	_EGAR00001482123_EIP@OAXIVTUHJB-5_aligned.fq.gz
OEKVAOUVFS_1	OEKVAOUVFS	1	naive	EGAR00001482124	_EGAR00001482124_EIP@OEKVAOUVFS-1_aligned.fq.gz
OEKVAOUVFS_2	OEKVAOUVFS	2	LPS	EGAR00001482125	_EGAR00001482125_EIP@OEKVAOUVFS-2_aligned.fq.gz
OEKVAOUVFS_3	OEKVAOUVFS	3	Pam3CSK4	EGAR00001482126	_EGAR00001482126_EIP@OEKVAOUVFS-3_aligned.fq.gz
OEKVAOUVFS_4	OEKVAOUVFS	4	R848	EGAR00001482127	_EGAR00001482127_EIP@OEKVAOUVFS-4_aligned.fq.gz
OEKVAOUVFS_5	OEKVAOUVFS	5	IAV	EGAR00001482128	_EGAR00001482128_EIP@OEKVAOUVFS-5_aligned.fq.gz
ONIZBQTLLK_1	ONIZBQTLLK	1	naive	EGAR00001482129	_EGAR00001482129_EIP@ONIZBQTLLK-1_aligned.fq.gz
ONIZBQTLLK_2	ONIZBQTLLK	2	LPS	EGAR00001482130	_EGAR00001482130_EIP@ONIZBQTLLK-2_aligned.fq.gz
ONIZBQTLLK_3	ONIZBQTLLK	3	Pam3CSK4	EGAR00001482131	_EGAR00001482131_EIP@ONIZBQTLLK-3_aligned.fq.gz
ONIZBQTLLK_4	ONIZBQTLLK	4	R848	EGAR00001482132	_EGAR00001482132_EIP@ONIZBQTLLK-4_aligned.fq.gz
ONIZBQTLLK_5	ONIZBQTLLK	5	IAV	EGAR00001482133	_EGAR00001482133_EIP@ONIZBQTLLK-5_aligned.fq.gz
ONKRHVQUZU_1	ONKRHVQUZU	1	naive	EGAR00001482134	_EGAR00001482134_EIP@ONKRHVQUZU-1_aligned.fq.gz
ONKRHVQUZU_2	ONKRHVQUZU	2	LPS	EGAR00001482135	_EGAR00001482135_EIP@ONKRHVQUZU-2_aligned.fq.gz
ONKRHVQUZU_3	ONKRHVQUZU	3	Pam3CSK4	EGAR00001482136	_EGAR00001482136_EIP@ONKRHVQUZU-3_aligned.fq.gz
ONKRHVQUZU_4	ONKRHVQUZU	4	R848	EGAR00001482137	_EGAR00001482137_EIP@ONKRHVQUZU-4_aligned.fq.gz
ONKRHVQUZU_5	ONKRHVQUZU	5	IAV	EGAR00001482138	_EGAR00001482138_EIP@ONKRHVQUZU-5_aligned.fq.gz
OOILYAFXYC_1	OOILYAFXYC	1	naive	EGAR00001482139	_EGAR00001482139_EIP@OOILYAFXYC-1_aligned.fq.gz
OOILYAFXYC_2	OOILYAFXYC	2	LPS	EGAR00001482140	_EGAR00001482140_EIP@OOILYAFXYC-2_aligned.fq.gz
OOILYAFXYC_3	OOILYAFXYC	3	Pam3CSK4	EGAR00001482141	_EGAR00001482141_EIP@OOILYAFXYC-3_aligned.fq.gz
OOILYAFXYC_4	OOILYAFXYC	4	R848	EGAR00001482142	_EGAR00001482142_EIP@OOILYAFXYC-4_aligned.fq.gz
OOILYAFXYC_5	OOILYAFXYC	5	IAV	EGAR00001482143	_EGAR00001482143_EIP@OOILYAFXYC-5_aligned.fq.gz
OSWGVHGFTN_1	OSWGVHGFTN	1	naive	EGAR00001482144	_EGAR00001482144_EIP@OSWGVHGFTN-1_aligned.fq.gz
OSWGVHGFTN_2	OSWGVHGFTN	2	LPS	EGAR00001482145	_EGAR00001482145_EIP@OSWGVHGFTN-2_aligned.fq.gz
OSWGVHGFTN_3	OSWGVHGFTN	3	Pam3CSK4	EGAR00001482146	_EGAR00001482146_EIP@OSWGVHGFTN-3_aligned.fq.gz
OSWGVHGFTN_4	OSWGVHGFTN	4	R848	EGAR00001482147	_EGAR00001482147_EIP@OSWGVHGFTN-4_aligned.fq.gz
OSWGVHGFTN_5	OSWGVHGFTN	5	IAV	EGAR00001482148	_EGAR00001482148_EIP@OSWGVHGFTN-5_aligned.fq.gz
OWHWOVEVSH_1	OWHWOVEVSH	1	naive	EGAR00001482149	_EGAR00001482149_EIP@OWHWOVEVSH-1_aligned.fq.gz
OWHWOVEVSH_2	OWHWOVEVSH	2	LPS	EGAR00001482150	_EGAR00001482150_EIP@OWHWOVEVSH-2_aligned.fq.gz
OWHWOVEVSH_3	OWHWOVEVSH	3	Pam3CSK4	EGAR00001482151	_EGAR00001482151_EIP@OWHWOVEVSH-3_aligned.fq.gz
OWHWOVEVSH_4	OWHWOVEVSH	4	R848	EGAR00001482152	_EGAR00001482152_EIP@OWHWOVEVSH-4_aligned.fq.gz
OWHWOVEVSH_5	OWHWOVEVSH	5	IAV	EGAR00001482153	_EGAR00001482153_EIP@OWHWOVEVSH-5_aligned.fq.gz
OZWHJCJAAV_1	OZWHJCJAAV	1	naive	EGAR00001482154	_EGAR00001482154_EIP@OZWHJCJAAV-1_aligned.fq.gz
OZWHJCJAAV_3	OZWHJCJAAV	3	Pam3CSK4	EGAR00001482155	_EGAR00001482155_EIP@OZWHJCJAAV-3_aligned.fq.gz
OZWHJCJAAV_4	OZWHJCJAAV	4	R848	EGAR00001482156	_EGAR00001482156_EIP@OZWHJCJAAV-4_aligned.fq.gz
OZWHJCJAAV_5	OZWHJCJAAV	5	IAV	EGAR00001482157	_EGAR00001482157_EIP@OZWHJCJAAV-5_aligned.fq.gz
OZWYGIXHEI_1	OZWYGIXHEI	1	naive	EGAR00001482158	_EGAR00001482158_EIP@OZWYGIXHEI-1_aligned.fq.gz
OZWYGIXHEI_2	OZWYGIXHEI	2	LPS	EGAR00001482159	_EGAR00001482159_EIP@OZWYGIXHEI-2_aligned.fq.gz
OZWYGIXHEI_3	OZWYGIXHEI	3	Pam3CSK4	EGAR00001482160	_EGAR00001482160_EIP@OZWYGIXHEI-3_aligned.fq.gz
OZWYGIXHEI_4	OZWYGIXHEI	4	R848	EGAR00001482161	_EGAR00001482161_EIP@OZWYGIXHEI-4_aligned.fq.gz
OZWYGIXHEI_5	OZWYGIXHEI	5	IAV	EGAR00001482162	_EGAR00001482162_EIP@OZWYGIXHEI-5_aligned.fq.gz
PCXMZRSWEM_1	PCXMZRSWEM	1	naive	EGAR00001482163	_EGAR00001482163_EIP@PCXMZRSWEM-1_aligned.fq.gz
PCXMZRSWEM_2	PCXMZRSWEM	2	LPS	EGAR00001482164	_EGAR00001482164_EIP@PCXMZRSWEM-2_aligned.fq.gz
PCXMZRSWEM_3	PCXMZRSWEM	3	Pam3CSK4	EGAR00001482165	_EGAR00001482165_EIP@PCXMZRSWEM-3_aligned.fq.gz
PCXMZRSWEM_4	PCXMZRSWEM	4	R848	EGAR00001482166	_EGAR00001482166_EIP@PCXMZRSWEM-4_aligned.fq.gz
PCXMZRSWEM_5	PCXMZRSWEM	5	IAV	EGAR00001482167	_EGAR00001482167_EIP@PCXMZRSWEM-5_aligned.fq.gz
PGPTLBZCWQ_1	PGPTLBZCWQ	1	naive	EGAR00001482168	_EGAR00001482168_EIP@PGPTLBZCWQ-1_aligned.fq.gz
PGPTLBZCWQ_2	PGPTLBZCWQ	2	LPS	EGAR00001482169	_EGAR00001482169_EIP@PGPTLBZCWQ-2_aligned.fq.gz
PGPTLBZCWQ_3	PGPTLBZCWQ	3	Pam3CSK4	EGAR00001482170	_EGAR00001482170_EIP@PGPTLBZCWQ-3_aligned.fq.gz
PGPTLBZCWQ_5	PGPTLBZCWQ	5	IAV	EGAR00001482171	_EGAR00001482171_EIP@PGPTLBZCWQ-5_aligned.fq.gz
PSSHAHZIIW_1	PSSHAHZIIW	1	naive	EGAR00001482172	_EGAR00001482172_EIP@PSSHAHZIIW-1_aligned.fq.gz
PSSHAHZIIW_2	PSSHAHZIIW	2	LPS	EGAR00001482173	_EGAR00001482173_EIP@PSSHAHZIIW-2_aligned.fq.gz
PSSHAHZIIW_3	PSSHAHZIIW	3	Pam3CSK4	EGAR00001482174	_EGAR00001482174_EIP@PSSHAHZIIW-3_aligned.fq.gz
PSSHAHZIIW_4	PSSHAHZIIW	4	R848	EGAR00001482175	_EGAR00001482175_EIP@PSSHAHZIIW-4_aligned.fq.gz
PSSHAHZIIW_5	PSSHAHZIIW	5	IAV	EGAR00001482176	_EGAR00001482176_EIP@PSSHAHZIIW-5_aligned.fq.gz
PTUDRHJTRJ_1	PTUDRHJTRJ	1	naive	EGAR00001482177	_EGAR00001482177_EIP@PTUDRHJTRJ-1_aligned.fq.gz
PTUDRHJTRJ_2	PTUDRHJTRJ	2	LPS	EGAR00001482178	_EGAR00001482178_EIP@PTUDRHJTRJ-2_aligned.fq.gz
PTUDRHJTRJ_3	PTUDRHJTRJ	3	Pam3CSK4	EGAR00001482179	_EGAR00001482179_EIP@PTUDRHJTRJ-3_aligned.fq.gz
PTUDRHJTRJ_4	PTUDRHJTRJ	4	R848	EGAR00001482180	_EGAR00001482180_EIP@PTUDRHJTRJ-4_aligned.fq.gz
PTUDRHJTRJ_5	PTUDRHJTRJ	5	IAV	EGAR00001482181	_EGAR00001482181_EIP@PTUDRHJTRJ-5_aligned.fq.gz
PXMIELOPKW_1	PXMIELOPKW	1	naive	EGAR00001482182	_EGAR00001482182_EIP@PXMIELOPKW-1_aligned.fq.gz
PXMIELOPKW_2	PXMIELOPKW	2	LPS	EGAR00001482183	_EGAR00001482183_EIP@PXMIELOPKW-2_aligned.fq.gz
PXMIELOPKW_3	PXMIELOPKW	3	Pam3CSK4	EGAR00001482184	_EGAR00001482184_EIP@PXMIELOPKW-3_aligned.fq.gz
PXMIELOPKW_4	PXMIELOPKW	4	R848	EGAR00001482185	_EGAR00001482185_EIP@PXMIELOPKW-4_aligned.fq.gz
PXMIELOPKW_5	PXMIELOPKW	5	IAV	EGAR00001482186	_EGAR00001482186_EIP@PXMIELOPKW-5_aligned.fq.gz
PYTFGAJXYJ_1	PYTFGAJXYJ	1	naive	EGAR00001482187	_EGAR00001482187_EIP@PYTFGAJXYJ-1_aligned.fq.gz
PYTFGAJXYJ_2	PYTFGAJXYJ	2	LPS	EGAR00001482188	_EGAR00001482188_EIP@PYTFGAJXYJ-2_aligned.fq.gz
PYTFGAJXYJ_3	PYTFGAJXYJ	3	Pam3CSK4	EGAR00001482189	_EGAR00001482189_EIP@PYTFGAJXYJ-3_aligned.fq.gz
PYTFGAJXYJ_4	PYTFGAJXYJ	4	R848	EGAR00001482190	_EGAR00001482190_EIP@PYTFGAJXYJ-4_aligned.fq.gz
PYTFGAJXYJ_5	PYTFGAJXYJ	5	IAV	EGAR00001482191	_EGAR00001482191_EIP@PYTFGAJXYJ-5_aligned.fq.gz
QAHHCDXPCA_1	QAHHCDXPCA	1	naive	EGAR00001482192	_EGAR00001482192_EIP@QAHHCDXPCA-1_aligned.fq.gz
QAHHCDXPCA_2	QAHHCDXPCA	2	LPS	EGAR00001482193	_EGAR00001482193_EIP@QAHHCDXPCA-2_aligned.fq.gz
QAHHCDXPCA_3	QAHHCDXPCA	3	Pam3CSK4	EGAR00001482194	_EGAR00001482194_EIP@QAHHCDXPCA-3_aligned.fq.gz
QAHHCDXPCA_4	QAHHCDXPCA	4	R848	EGAR00001482195	_EGAR00001482195_EIP@QAHHCDXPCA-4_aligned.fq.gz
QAHHCDXPCA_5	QAHHCDXPCA	5	IAV	EGAR00001482196	_EGAR00001482196_EIP@QAHHCDXPCA-5_aligned.fq.gz
QAUDXITOSM_1	QAUDXITOSM	1	naive	EGAR00001482197	_EGAR00001482197_EIP@QAUDXITOSM-1_aligned.fq.gz
QAUDXITOSM_2	QAUDXITOSM	2	LPS	EGAR00001482198	_EGAR00001482198_EIP@QAUDXITOSM-2_aligned.fq.gz
QAUDXITOSM_3	QAUDXITOSM	3	Pam3CSK4	EGAR00001482199	_EGAR00001482199_EIP@QAUDXITOSM-3_aligned.fq.gz
QAUDXITOSM_4	QAUDXITOSM	4	R848	EGAR00001482200	_EGAR00001482200_EIP@QAUDXITOSM-4_aligned.fq.gz
QAUDXITOSM_5	QAUDXITOSM	5	IAV	EGAR00001482201	_EGAR00001482201_EIP@QAUDXITOSM-5_aligned.fq.gz
QEQHGLDYBC_1	QEQHGLDYBC	1	naive	EGAR00001482202	_EGAR00001482202_EIP@QEQHGLDYBC-1_aligned.fq.gz
QEQHGLDYBC_2	QEQHGLDYBC	2	LPS	EGAR00001482203	_EGAR00001482203_EIP@QEQHGLDYBC-2_aligned.fq.gz
QEQHGLDYBC_3	QEQHGLDYBC	3	Pam3CSK4	EGAR00001482204	_EGAR00001482204_EIP@QEQHGLDYBC-3_aligned.fq.gz
QEQHGLDYBC_4	QEQHGLDYBC	4	R848	EGAR00001482205	_EGAR00001482205_EIP@QEQHGLDYBC-4_aligned.fq.gz
QEQHGLDYBC_5	QEQHGLDYBC	5	IAV	EGAR00001482206	_EGAR00001482206_EIP@QEQHGLDYBC-5_aligned.fq.gz
QJKYOFXTPU_1	QJKYOFXTPU	1	naive	EGAR00001482207	_EGAR00001482207_EIP@QJKYOFXTPU-1_aligned.fq.gz
QJKYOFXTPU_2	QJKYOFXTPU	2	LPS	EGAR00001482208	_EGAR00001482208_EIP@QJKYOFXTPU-2_aligned.fq.gz
QJKYOFXTPU_3	QJKYOFXTPU	3	Pam3CSK4	EGAR00001482209	_EGAR00001482209_EIP@QJKYOFXTPU-3_aligned.fq.gz
QJKYOFXTPU_4	QJKYOFXTPU	4	R848	EGAR00001482210	_EGAR00001482210_EIP@QJKYOFXTPU-4_aligned.fq.gz
QJKYOFXTPU_5	QJKYOFXTPU	5	IAV	EGAR00001482211	_EGAR00001482211_EIP@QJKYOFXTPU-5_aligned.fq.gz
QJURERJAVQ_1	QJURERJAVQ	1	naive	EGAR00001482212	_EGAR00001482212_EIP@QJURERJAVQ-1_aligned.fq.gz
QJURERJAVQ_2	QJURERJAVQ	2	LPS	EGAR00001482213	_EGAR00001482213_EIP@QJURERJAVQ-2_aligned.fq.gz
QJURERJAVQ_3	QJURERJAVQ	3	Pam3CSK4	EGAR00001482214	_EGAR00001482214_EIP@QJURERJAVQ-3_aligned.fq.gz
QJURERJAVQ_4	QJURERJAVQ	4	R848	EGAR00001482215	_EGAR00001482215_EIP@QJURERJAVQ-4_aligned.fq.gz
QJURERJAVQ_5	QJURERJAVQ	5	IAV	EGAR00001482216	_EGAR00001482216_EIP@QJURERJAVQ-5_aligned.fq.gz
QJZBFLRZKT_1	QJZBFLRZKT	1	naive	EGAR00001482217	_EGAR00001482217_EIP@QJZBFLRZKT-1_aligned.fq.gz
QJZBFLRZKT_2	QJZBFLRZKT	2	LPS	EGAR00001482218	_EGAR00001482218_EIP@QJZBFLRZKT-2_aligned.fq.gz
QJZBFLRZKT_3	QJZBFLRZKT	3	Pam3CSK4	EGAR00001482219	_EGAR00001482219_EIP@QJZBFLRZKT-3_aligned.fq.gz
